epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1179.74,0.78199,0.58879,1.10423,0.84519,0.66457,0.76638,0.5871,0.99231,0.81145,1.1715,6.92576e-05,6.92576e-05,6.92576e-05
2,2000.49,0.71557,0.527,1.06086,0.83757,0.65837,0.75891,0.57709,1.02687,0.89045,1.20637,0.000131731,0.000131731,0.000131731
3,2749.28,0.72233,0.53425,1.06134,0.77983,0.67365,0.73835,0.55891,1.04893,0.93132,1.2384,0.00018734,0.00018734,0.00018734
4,3475.46,0.74295,0.55754,1.07236,0.86291,0.57772,0.72252,0.55025,1.05758,0.94407,1.24371,0.000177112,0.000177112,0.000177112
5,4196.78,0.75049,0.56796,1.07908,0.85267,0.60926,0.73866,0.55331,1.03459,0.94364,1.22409,0.000166816,0.000166816,0.000166816
6,4877.63,0.74748,0.56308,1.08283,0.86155,0.6048,0.73776,0.5572,1.04448,0.90418,1.2285,0.00015652,0.00015652,0.00015652
7,5644.71,0.75443,0.5709,1.08277,0.83207,0.63473,0.73144,0.553,1.04939,0.92034,1.23345,0.000146224,0.000146224,0.000146224
8,6339.63,0.75403,0.56593,1.08285,0.81889,0.63861,0.75982,0.57874,1.04742,0.90724,1.23364,0.000135928,0.000135928,0.000135928
9,7070.2,0.75399,0.57135,1.08506,0.85304,0.62883,0.75168,0.57735,1.04472,0.89862,1.2275,0.000125632,0.000125632,0.000125632
10,7786.55,0.75869,0.56947,1.0888,0.8203,0.67663,0.75636,0.57824,1.03041,0.86951,1.21559,0.000115336,0.000115336,0.000115336
11,8921.84,0.76337,0.5672,1.08794,0.82693,0.67041,0.7379,0.55818,1.01858,0.85442,1.20366,0.00010504,0.00010504,0.00010504
